step,energy
192000000,10264.3436578
192600000,10098.8611252
193200000,10230.1590266
193800000,10068.3354112
194400000,10144.6974488
195000000,10139.3049884
195600000,10196.8411671
196200000,10288.561977
196800000,10154.6155979
197400000,10176.956706
198000000,10134.7311368
198600000,9999.77431823
199200000,10073.5360409
199800000,10124.8129877
200400000,10090.6283565
201000000,10090.6283565
201600000,10169.8307024
202200000,10142.7720749
202800000,10238.1518019
203400000,10285.7698315
204000000,10085.2358961
204600000,10017.7334054
205200000,10069.0103522
205800000,10109.4542153
206400000,9979.02308552
207000000,10133.7206973
207600000,10014.9412599
208200000,10109.4542153
208800000,10090.907222
209400000,10141.3173971
210000000,10116.8396484
210600000,10063.6178918
211200000,10166.1717853
211800000,10311.9616874
212400000,10402.8157257
213000000,10187.7897896
213600000,10068.1435805
214200000,10057.310497
214800000,10158.9976188
215400000,10006.0335502
216000000,10129.3386764
216600000,10006.0335502
217200000,10171.5160828
217800000,9995.20046665
218400000,10148.1645352
219000000,10059.0440402
219600000,10136.46468
220200000,10352.6168172
220800000,10491.3001517
221400000,10326.2618575
222000000,10297.6809533
222600000,10331.6543178
223200000,10187.7897896
223800000,10274.3294058
224400000,10262.3701211
225000000,10251.5852003
225600000,10249.8516571
226200000,10329.054003
226800000,10358.0574404
227400000,10209.4077939
228000000,10186.0562464
228600000,10255.2922803
229200000,10289.4769114
229800000,10227.3668811
230400000,10227.3668811
231000000,10222.8411924
231600000,10171.5642456
232200000,10204.8821052
232800000,10186.8748551
233400000,10268.0220109
234000000,10304.7393581
234600000,10153.6051584
235200000,10278.6438279
235800000,10282.302745
236400000,10277.7770562
237000000,10336.4394361
237600000,10271.5178242
238200000,10241.8588818
238800000,10286.8765966
239400000,10292.2208941
240000000,10383.1230952
240600000,10260.0292357
241200000,10344.624042
241800000,10448.8438799
242400000,10666.7295603
243000000,10514.4209967
243600000,10533.4386861
244200000,10449.7588143
244800000,10135.8379019
245400000,10263.525049
246000000,10187.1148486
246600000,10321.0612277
247200000,10290.5355137
247800000,10416.4409548
248400000,10548.6056278
249000000,10340.9651248
249600000,10508.1617647
250200000,10456.0180463
250800000,10408.2563489
251400000,10371.4714029
252000000,10533.2950183
252600000,10441.5742084
253200000,10395.6897221
253800000,10336.3718373
254400000,10356.3238972
255000000,10425.3486645
255600000,10293.1358286
256200000,10389.4304901
256800000,10334.7058928
257400000,10352.4537134
258000000,10432.4746681
258600000,10580.2575429
259200000,10477.7036495
259800000,10501.055197
260400000,10433.5332703
261000000,10421.881578
261600000,10479.4177567
262200000,10638.6410573
262800000,10567.8827468
263400000,10387.6969468
264000000,10399.3486392
264600000,10474.0252963
265200000,10372.3381745
265800000,10386.8301752
266400000,10459.9363929
267000000,10482.4887677
267600000,10358.904776
268200000,10458.8583547
268800000,10440.8992675
269400000,10351.7306096
270000000,10149.2713003
270600000,10387.648784
271200000,10393.0894072
271800000,10411.0484944
272400000,10554.2575177
273000000,10635.0776452
273600000,10450.5774231
274200000,10405.6078712
274800000,10473.1103619
275400000,10328.1872314
276000000,10234.6847154
276600000,10281.4359734
277200000,10332.7129201
277800000,10205.8925446
278400000,10394.7747876
279000000,10353.4641528
279600000,10268.0025749
280200000,10291.4022853
280800000,10177.1485367
281400000,10253.5587371
282000000,10428.0926471
282600000,10550.7422684
283200000,10525.4653469
283800000,10445.1849627
284400000,10449.7588143
285000000,10533.4386861
285600000,10694.39553
286200000,10684.6886475
286800000,10618.1010912
287400000,10354.3309245
288000000,10641.4526388
288600000,10303.9207493
289200000,10564.8311718
289800000,10540.5646897
290400000,10503.6360759
291000000,10462.3254411
291600000,10400.2154108
292200000,10383.1230952
292800000,10501.9025327
293400000,10376.8638632
294000000,10536.0871638
294600000,10540.6128526
295200000,10611.5824297
295800000,10564.8311718
296400000,10502.7693043
297000000,10817.8164178
297600000,10504.5028475
298200000,10658.3336877
298800000,10724.0544724
299400000,10751.1130999
300000000,10771.9319314
300600000,10797.8643579
301200000,10653.9998296
301800000,10683.658772
302400000,10836.5746778
303000000,10838.308221
303600000,10661.9926049
304200000,10638.6410573
304800000,10639.5078289
305400000,10653.9516668
306000000,10838.5676505
306600000,10803.2568182
307200000,10716.0616971
307800000,10693.5769212
308400000,11100.2290829
309000000,10867.2440596
309600000,10860.792997
310200000,10906.88875
310800000,10777.256793
311400000,10904.2208363
312000000,10895.3807255
312600000,10869.0257657
313200000,10906.0219784
313800000,10969.6061224
314400000,11078.6592414
315000000,11026.515523
315600000,10892.3773133
316200000,10769.0721871
316800000,11001.1904387
317400000,10963.6063199
318000000,11133.8739708
318600000,10931.135796
319200000,10760.2126402
319800000,10872.6846828
320400000,11040.8156931
321000000,11107.6626788
321600000,11057.2525037
322200000,11030.1938762
322800000,11066.9593862
323400000,10939.9953429
324000000,10919.5035396
324600000,10921.2370829
325200000,10849.1413046
325800000,10790.6901914
326400000,11035.3750699
327000000,10957.9544301
327600000,10780.7720423
328200000,10779.9052707
328800000,10892.3773133
329400000,10836.5746778
330000000,10963.6063199
330600000,10923.1624568
331200000,10882.6704308
331800000,10954.6986103
332400000,10722.3690919
333000000,10666.5664564
333600000,10940.9102773
334200000,10947.5920426
334800000,10683.658772
335400000,11014.672
336000000,11067.8743206
336600000,10886.9848529
337200000,11007.5459964
337800000,10814.1380647
338400000,11067.8743206
339000000,10916.6919581
339600000,10888.766559
340200000,11218.0462437
340800000,11120.8848106
341400000,11223.4387041
342000000,11208.3393612
342600000,11319.0778606
343200000,11188.3873013
343800000,11016.5973739
344400000,11345.8288958
345000000,11078.7074042
345600000,11036.5494338
346200000,11129.0694165
346800000,11062.4818603
347400000,10970.7610504
348000000,11210.8720773
348600000,11084.9666362
349200000,11093.8261831
349800000,11345.2409897
350400000,11294.5519491
351000000,11244.141774
351600000,11286.8380393
352200000,11245.0567084
352800000,11351.3176819
353400000,11359.3104571
354000000,11660.8760093
354600000,11350.0742708
355200000,11518.7450243
355800000,11539.5638559
356400000,11325.3370926
357000000,11146.2293309
357600000,11295.4668835
358200000,11149.6769814
358800000,11136.243583
359400000,11250.4973316
360000000,11374.6692294
360600000,11355.2073017
361200000,11183.8616126
